=============================
Sun Aug 11 06:05:40 2013
5 3
frame#1 bp#1 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.059430,0.062233,0.063369,
0.720775,0.721266,0.722429,
0.066522,0.069130,0.070508,

frame#4 bp#7 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.696301,0.697732,0.697759,
0.003814,0.004245,0.004287,
0.710922,0.710899,0.710939,
0.004908,0.005131,0.005288,

frame#4 bp#8 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.700775,0.700772,0.700780,
-0.000000,0.000005,0.000013,
0.700622,0.700622,0.700615,
0.000097,0.000090,0.000086,

frame#5 bp#1 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.702332,0.897515,0.945851,
0.640008,0.772348,0.804888,
0.953286,0.955180,0.956696,
0.814968,0.817603,0.818591,

frame#5 bp#2 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.710513,0.869909,0.903114,
0.527280,0.623919,0.643169,
0.911808,0.914258,0.917443,
0.654575,0.661181,0.663349,

frame#5 bp#3 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.705699,0.807665,0.823874,
0.334853,0.380625,0.388146,
0.820516,0.824271,0.826691,
0.399611,0.408403,0.410930,

frame#5 bp#4 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.700675,0.777913,0.787040,
0.257159,0.284406,0.290027,
0.788556,0.792612,0.794851,
0.297117,0.305494,0.307126,

frame#5 bp#5 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.704958,0.753994,0.758719,
0.160059,0.173601,0.176151,
0.749759,0.751785,0.753021,
0.178463,0.184175,0.185331,

frame#5 bp#6 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.703674,0.721076,0.721786,
0.061488,0.064112,0.064826,
0.722785,0.723423,0.724169,
0.064957,0.068031,0.069291,

frame#5 bp#7 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.708819,0.710501,0.710601,
0.005223,0.005512,0.005467,
0.697849,0.697912,0.697935,
0.004469,0.004599,0.004654,

frame#5 bp#8 (Ie_c, Ie_s, Ie_c_prev, Ie_s_prev)
0.702080,0.702092,0.702083,
0.000006,0.000059,0.000072,
0.700790,0.700796,0.700834,
0.000021,0.000040,0.000106,

