Iter:#1,lambda=1.000000 (0.384241) gammas:[3.678253, 3.109882, 2.681585, 2.253984, 1.774905, 1.226186, 0.139792, 771694575026862010000000000000000000000000000.000000, ]
diverge:0.192842
Iter:#2,lambda=1062.055213 (0.590321) gammas:[1.216291, 0.128082, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#3,lambda=1062.045213 (0.590320) gammas:[1.216294, 0.128085, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#4,lambda=1062.035213 (0.590319) gammas:[1.216297, 0.128088, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#5,lambda=1062.025213 (0.590318) gammas:[1.216301, 0.128091, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#6,lambda=1062.015213 (0.590318) gammas:[1.216303, 0.128094, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#7,lambda=1062.005213 (0.590317) gammas:[1.216306, 0.128097, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#8,lambda=1061.995213 (0.590316) gammas:[1.216309, 0.128100, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#9,lambda=1061.985213 (0.590315) gammas:[1.216311, 0.128103, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#10,lambda=1061.975213 (0.590314) gammas:[1.216314, 0.128106, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#11,lambda=1061.965213 (0.590313) gammas:[1.216317, 0.128109, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#12,lambda=1061.955213 (0.590312) gammas:[1.216319, 0.128111, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#13,lambda=1061.945213 (0.590311) gammas:[1.216322, 0.128114, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#14,lambda=1061.935213 (0.590310) gammas:[1.216325, 0.128117, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#15,lambda=1061.925213 (0.590309) gammas:[1.216327, 0.128120, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#16,lambda=1061.915213 (0.590308) gammas:[1.216330, 0.128123, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#17,lambda=1061.905213 (0.590307) gammas:[1.216333, 0.128126, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#18,lambda=1061.895213 (0.590306) gammas:[1.216335, 0.128129, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#19,lambda=1061.885213 (0.590305) gammas:[1.216338, 0.128132, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#20,lambda=1061.875213 (0.590305) gammas:[1.216341, 0.128135, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#21,lambda=1061.865213 (0.590304) gammas:[1.216343, 0.128138, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#22,lambda=1061.855213 (0.590303) gammas:[1.216346, 0.128140, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#23,lambda=1061.845213 (0.590302) gammas:[1.216349, 0.128143, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#24,lambda=1061.835213 (0.590301) gammas:[1.216351, 0.128146, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#25,lambda=1061.825213 (0.590300) gammas:[1.216354, 0.128149, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#26,lambda=1061.815213 (0.590299) gammas:[1.216357, 0.128152, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#27,lambda=1061.805213 (0.590298) gammas:[1.216359, 0.128155, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#28,lambda=1061.795213 (0.590297) gammas:[1.216362, 0.128158, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#29,lambda=1061.785213 (0.590296) gammas:[1.216365, 0.128161, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
Iter:#30,lambda=1061.775213 (0.590295) gammas:[1.216367, 0.128164, 2.675404, 2.249903, 1.770729, 1.223561, 0.136468, 771694575026862010000000000000000000000000000.000000, ]
