0.001013,0.001827,0.004529,0.007362,0.013440,0.024187,0.038550,0.047061,33.073207
0.001166,0.001704,0.004617,0.007371,0.013398,0.024177,0.038553,0.047061,32.796716
0.001080,0.001717,0.004418,0.007057,0.012578,0.022647,0.037708,0.046818,33.022107
0.001072,0.001717,0.004349,0.007044,0.012648,0.022661,0.037704,0.046818,33.048037
0.001490,0.002189,0.004765,0.007377,0.012964,0.022594,0.037809,0.046939,31.947292
0.001369,0.002164,0.004696,0.007391,0.012944,0.022599,0.037806,0.046940,32.178234
0.001373,0.002067,0.004622,0.007448,0.013180,0.023375,0.038047,0.047212,32.218919
0.001500,0.002051,0.004652,0.007428,0.013216,0.023383,0.038047,0.047213,31.997018
0.001508,0.002240,0.005060,0.008008,0.013942,0.023967,0.038073,0.046855,31.838617
0.001595,0.002204,0.005024,0.007990,0.013971,0.023962,0.038075,0.046855,31.712676
0.001521,0.002333,0.005190,0.008125,0.014350,0.024630,0.038793,0.047469,31.756828
0.001660,0.002322,0.005305,0.008140,0.014386,0.024623,0.038794,0.047468,31.528354
0.001617,0.002508,0.005529,0.009150,0.015789,0.026169,0.039373,0.047234,31.465780
0.001626,0.002475,0.005548,0.009160,0.015770,0.026161,0.039367,0.047233,31.461852
0.002750,0.004066,0.008262,0.012694,0.020308,0.030232,0.040565,0.047750,29.356020
0.002489,0.004162,0.008306,0.012707,0.020267,0.030245,0.040566,0.047750,29.583425
0.003074,0.004745,0.009404,0.014826,0.022834,0.032118,0.042248,0.047705,28.815652
0.002888,0.004769,0.009469,0.014854,0.022864,0.032113,0.042241,0.047705,28.964078
0.002911,0.004824,0.009614,0.015110,0.022912,0.032204,0.042149,0.047722,28.921420
0.002727,0.004830,0.009632,0.015124,0.022899,0.032197,0.042152,0.047722,29.078990
0.002262,0.003728,0.007465,0.012025,0.019682,0.029627,0.040767,0.047726,30.001578
0.002193,0.003677,0.007477,0.012044,0.019730,0.029619,0.040764,0.047726,30.090607
0.001783,0.002755,0.006379,0.010341,0.017457,0.028018,0.040160,0.047432,31.016975
